name,type,neighborhood,city,websiteUrl,latitude,longitude,rating,ratingSource
"Eco-Park (Ahala)",PARK,Ahala,Yaoundé,https://fr.tripadvisor.ca/Attraction_Review-g293773-d10597819-Reviews-Ecopark-Yaounde_Centre_Region.html,3.8042,11.4958,4.0,TripAdvisor
"Blackitude Museum",MUSEUM,Centre Ville,Yaoundé,https://www.tripadvisor.ca/Attraction_Review-g293773-d8627598-Reviews-Blackitude_Museum-Yaounde_Centre_Region.html,3.8642,11.5183,4.5,TripAdvisor
"Centre International de l'Artisanat",MUSEUM,Centre Ville,Yaoundé,https://evendo.com/locations/cameroon/south-region/landmark/centre-international-de-l-artisanat,3.8670,11.5201,3.9,Google Reviews
"Contemporary Art Gallery",MUSEUM,Centre Ville,Yaoundé,https://visit-yaounde.com/galerie-dart-contemporain/,3.8630,11.5210,4.2,Google Reviews
"Station Coloniale Allemande",MUSEUM,Centre Ville,Yaoundé,https://fr.tripadvisor.ca/Attraction_Review-g293773-d20867319-Reviews-Station_Coloniale_Allemande-Yaounde_Centre_Region.html,3.8650,11.5230,4.0,TripAdvisor
"Bois Sainte Anastasie",PARK,Centre Ville,Yaoundé,https://www.tripadvisor.com/Attraction_Review-g293773-d8627606-Reviews-Bois_Sainte_Anastasie-Yaounde_Centre_Region.html,3.8711,11.5145,3.3,Petit Futé
"Palais Charles Atangana",MUSEUM,Efoulan,Yaoundé,https://fr.wikipedia.org/wiki/Palais_de_Charles_Atangana,3.8360,11.5030,3.8,Google Reviews
"Musée des Peuples de la Forêt",MUSEUM,Elig-Essono,Yaoundé,https://fr.tripadvisor.ca/Attraction_Review-g293773-d9695161-Reviews-Musee_Ethnographique_des_Peuples_de_the_Foret-Yaounde_Centre_Region.html,3.8775,11.5255,4.3,TripAdvisor
"Ebogo Ecotourism Site",PARK,Obobogo,Yaoundé,https://www.tripadvisor.ca/Attraction_Review-g12007078-d12871799-Reviews-Site_Touristique_D_EBOGO-Mbalmayo_Centre_Region.html,3.5410,11.5320,4.4,Cameroon Travel & Tours
"Monastère bénédictin du Mont Fébé",MUSEUM,Mont Fébé,Yaoundé,https://fr.tripadvisor.ca/Attraction_Review-g293773-d480327-Reviews-Benedictine_Museum_of_Mont_Febe-Yaounde_Centre_Region.html,3.9160,11.4990,4.0,TripAdvisor
"Musée d'Art Camerounais (Mont Fébé)",MUSEUM,Mont Fébé,Yaoundé,http://monasteremontfebe.com/index.php/musee,3.9153,11.4985,3.8,TripAdvisor
"Le Sommet du Mont Fébé",PARK,Mont Fébé,Yaoundé,https://fr.tripadvisor.ca/Attraction_Review-g293773-d24143989-Reviews-Circuit_De_Randonnee_Du_Mont_Febe-Yaounde_Centre_Region.html,3.9180,11.5010,4.1,Google Reviews
"Parcours Vita Yaoundé",PARK,Mont Fébé,Yaoundé,https://www.facebook.com/ParcoursVitaDeYaounde,3.9108,11.4992,4.4,Google Reviews
"Basilique Marie-Reine-des-Apôtres",MUSEUM,Mvolyé,Yaoundé,https://en.wikipedia.org/wiki/Basilique_Marie-Reine-des-Ap%C3%B4tres,3.8425,11.5078,4.7,Google Reviews
"Mvog-Betsi Botanical & Zoo",PARK,Mvog-Betsi,Yaoundé,https://www.tripadvisor.com/Attraction_Review-g293773-d29206780-Reviews-Mvog_Betsi_Zoo-Yaounde_Centre_Region.html,3.8649,11.4872,3.5,Google Reviews
"Place de la Réunification",PARK,Ngoa-Ekélé,Yaoundé,https://fr.tripadvisor.ca/Attraction_Review-g293773-d8822272-Reviews-Monument_de_la_Reunification-Yaounde_Centre_Region.html,3.8525,11.5136,4.1,Wanderlog
"Palais des Congrès Gardens",PARK,Nkol-Eton,Yaoundé,https://palaisdescongres.cm/en/environment-green-spaces,3.8912,11.5125,4.0,Google Reviews
"Afhemi Museum",MUSEUM,Nkolbisson,Yaoundé,,3.8760,11.4540,4.5,Google Reviews
"Mount Eloundem",PARK,Nkolbisson,Yaoundé,https://www.tripadvisor.com/AttractionProductReview-g293772-d12993198-Walking_and_Trekking_Trip_on_Mount_Eloundem-Cameroon.html,3.8500,11.4300,4.8,Cameroon Travel & Tours
"Naturo Parc",PARK,Nkozoa,Yaoundé,,3.9482,11.5411,4.0,Google Reviews
"Musée National du Cameroun",MUSEUM,Quartier du Lac,Yaoundé,https://www.tripadvisor.ca/Attraction_Review-g293773-d480318-Reviews-National_Museum_of_Yaounde_Le_Musee_National_de_Yaounde-Yaounde_Centre_Region.html,3.8643,11.5135,3.8,Petit Futé
